table_catalog	table_schema	table_name	view_definition	check_option	is_updatable	is_insertable_into	is_trigger_updatable	is_trigger_deletable	is_trigger_insertable_into
memory	public_url	aa2	CREATE VIEW public_url.aa2 AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	aaa3	CREATE VIEW public_url.aaa3 AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	aaaaa	CREATE VIEW public_url.aaaaa AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	aabbcc	CREATE VIEW public_url.aabbcc AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	aabbcc11	CREATE VIEW public_url.aabbcc11 AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	abc	CREATE VIEW public_url.abc AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	abc1	CREATE VIEW public_url.abc1 AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	access_code_password_recovery_code	CREATE VIEW public_url.access_code_password_recovery_code AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009159412/access-code-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	ateste	CREATE VIEW public_url.ateste AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	email23	CREATE VIEW public_url.email23 AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197071/email.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	email_password_recovery_code	CREATE VIEW public_url.email_password_recovery_code AS SELECT * FROM "https://support.staffbase.com/hc/en-us/article_attachments/360009197091/email-password-recovery-code.csv";	NONE	NO	NO	NO	NO	NO
memory	public_url	gold_vs_bitcoin	CREATE VIEW public_url.gold_vs_bitcoin AS SELECT * FROM "https://corsproxy.io/?https://www.timestored.com/data/sample/pq/gold_vs_bitcoin.parquet";	NONE	NO	NO	NO	NO	NO
memory	public_url	i5_mb	CREATE VIEW public_url.i5_mb AS SELECT * FROM "https://microsoftedge.github.io/Demos/json-dummy-data/5MB.json";	NONE	NO	NO	NO	NO	NO
memory	public_url	iris	CREATE VIEW public_url.iris AS SELECT * FROM "https://corsproxy.io/?https://www.timestored.com/data/sample/iris.parquet";	NONE	NO	NO	NO	NO	NO
memory	public_url	json5_mb	CREATE VIEW public_url.json5_mb AS SELECT * FROM "https://microsoftedge.github.io/Demos/json-dummy-data/5MB.json";	NONE	NO	NO	NO	NO	NO
